GARMIN CONSOLIDATED SLEEP REPORT
===============================

Date         | Deep     | REM      | Light    | Total
2017-09-12   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-13   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-14   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-15   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-16   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-17   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-18   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-19   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-20   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-21   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-22   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-23   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-24   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-25   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-26   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-27   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-28   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-29   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-09-30   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-01   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-02   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-03   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-04   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-05   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-06   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-07   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-08   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-09   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-10   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-11   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-12   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-13   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-10-14   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
